Facility Number,F_NAME,HMIS,Province,District,Division,LOCATION,Sub-Location,Spatial Reference Method,Facility Type,Agency,Geolocation
1,ANMER DISP,190,CENTRAL,KIAMBU,KIAMBAA,KAMITI,ANMER,1:50000 MAPS,4,MOH,"(-1.137387, 36.84009)"
2,BATHI DISP,192,CENTRAL,KIAMBU,LARI,KIJABE,BATHI,DDP,4,MISS,"(-0.978523, 36.6347)"
3,BIBIRIONI DISP,3731,CENTRAL,KIAMBU,LIMURU,LIMURU,BIBIRIONI,1:50000 MAPS,4,MISS,"(-1.08108, 36.6171)"
4,CHURA DISP,,CENTRAL,KIAMBU,KIKUYU,KABETE,CHURA,1:50000 MAPS,4,MOH,"(-1.21635, 36.6896)"
5,CIANDA DISP,193,CENTRAL,KIAMBU,KIAMBAA,CIANDA,CIANDA,1:50000 MAPS,4,MOH,"(-1.1328, 36.7613)"
6,GACHOIRE DISP,,CENTRAL,KIAMBU,LARI,NYANDUMA,GACHOIRE,DDP,4,MOH,"(-0.991187, 36.7044)"
7,GATHANGA DISP,931,CENTRAL,KIAMBU,KIAMBAA,WAGUTHU,GATHANGA,1:50000 MAPS,4,MOH,"(-1.182312, 36.791234)"
8,GATHANGARI DISP,,CENTRAL,KIAMBU,GITHUNGURI,GITHIGA,GITIHA,1:50000 MAPS,4,MOH,"(-1.06802, 36.7054)"
9,GIATHIEKO DISP,,CENTRAL,KIAMBU,GITHUNGURI,IKINU,RIUKI,DDP,4,MOH,"(-1.09883, 36.8279)"
10,GICHARANI DISP,3638,CENTRAL,KIAMBU,KIKUYU,KARAI,GIKAMBURA,ILRI VILLAGES,4,MISS,"(-1.27, 36.65)"
11,GICHURU DISP,198,CENTRAL,KIAMBU,LIMURU,NGECHA,NGECHA,1:50000 MAPS,4,MOH,"(-1.16126, 36.6689)"
12,GITHIGA HEALTH CENTRE,2401,CENTRAL,KIAMBU,GITHUNGURI,GITHIGA,MATUGUTA,DDP,3,MOH,"(-1.083, 36.7462)"
13,GITHUNGURI HEALTH CENTRE,233,CENTRAL,KIAMBU,GITHUNGURI,GITHUNGURI,KANJAI,DDP,3,MOH,"(-1.05339, 36.788)"
14,GITIHA HEALTH CENTRE,2398,CENTRAL,KIAMBU,GITHUNGURI,GITHIGA,GITIHA,1:50000 MAPS,3,MOH,"(-1.0742, 36.6896)"
15,HOLY CROSS (THIGIO) DISP,612,CENTRAL,KIAMBU,LIMURU,NDEIYA,THIGIO(KIAMBU),SUBLOC CENTROID,4,MISS,"(-1.196205, 36.56731)"
16,KAARIA DISP,,CENTRAL,KIAMBU,KIAMBAA,NDUMBERI,NDUMBERI,1:50000 MAPS,4,MOH,"(-1.14234, 36.801234)"
17,KAGAA HEALTH CENTRE,2400,CENTRAL,KIAMBU,GITHUNGURI,GITHUNGURI,GITHUNGURI(KIAMBU),DDP,3,MOH,"(-1.05093, 36.7467)"
18,KAGWE CATHOLIC MISSION DISP,207,CENTRAL,KIAMBU,LARI,GATAMAIYU,KAGWE,ILRI MKT CENTRES,4,MISS,"(-1.001209, 36.743433)"
19,KAGWE HEALTH CENTRE,2447,CENTRAL,KIAMBU,LARI,GATAMAIYU,KAGWE,DDP,3,MOH,"(-1.00448, 36.7392)"
20,KAMAE FOREST DISP,208,CENTRAL,KIAMBU,LARI,KINALE,KINALE,DDP,4,MOH,"(-0.870245, 36.624)"
21,KAMBUI DISP,209,CENTRAL,KIAMBU,GITHUNGURI,NGEWA,NYAGA,ILRI VILLAGES,4,MISS,"(-1.1, 36.87)"
22,KAMBURU DISP,4831,CENTRAL,KIAMBU,LARI,KAMBURU,MATIMBEI,DDP,4,MOH,"(-1.01588, 36.7082)"
23,KARAI HEALTH CENTRE,,CENTRAL,KIAMBU,KIKUYU,KARAI,NACHU,DDP,3,MOH,"(-1.28069, 36.5765)"
24,KARIA DISP,210,CENTRAL,KIAMBU,KIAMBAA,WAGUTHU,NGEGU,1:50000 MAPS,4,MOH,"(-1.174213, 36.82123)"
25,KARURA SDA DISP,,CENTRAL,KIAMBU,KIAMBAA,KIHARA,GACHIE,ILRI VILLAGES,4,MISS,"(-1.22, 36.78)"
26,KARURI HEALTH CENTRE,261,CENTRAL,KIAMBU,KIAMBAA,KIAMBAA,NJIKU,DDP,3,MOH,"(-1.18431, 36.7399)"
27,KENTMERE DISP,2413,CENTRAL,KIAMBU,LIMURU,KARAMBAINI,MABROUKE,1:50000 MAPS,4,MISS,"(-1.122966, 36.658545)"
28,KIAMBAA DISP,,CENTRAL,KIAMBU,KIAMBAA,KAMITI,ANMER,DDP,4,MOH,"(-1.13999, 36.8456)"
